CompanyName,Ldcp,Open,High,Low,Current,Change,Volume
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
HBL Growth Fund,9.51,9.55,9.56,9.5,9.5,0.01,"31,840"
HBL Invest Fund,3.38,3.29,3.45,3.29,3.41,0.04,"35,365"
Tri-Star Mutual,8.35,8.84,8.84,7.54,7.58,0.29,"1,262"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Allied Bank Ltd,128.03,128.0,129.6,127.06,129.0,1.07,"39,323"
Askari Bank,45.39,45.55,46.7,45.12,46.1,0.55,"1,452,404"
B.O.Punjab,9.97,10.0,10.05,9.94,9.95,-0.01,"3,882,469"
Bank Al-Falah,74.88,74.88,74.99,73.75,74.85,-0.22,"640,567"
Bank AL-Habib,139.33,139.01,140.4,138.75,139.6,0.64,"290,610"
Bank Makramah,3.45,3.32,3.5,3.32,3.36,-0.05,"1,508,488"
Bank Of Khyber,14.61,14.5,15.0,14.5,14.9,0.29,"10,666"
Bankislami Pak,20.08,20.33,20.34,20.06,20.15,0.06,"399,149"
Faysal Bank,48.53,48.5,49.2,48.0,48.38,-0.31,"1,651,013"
Habib Bank,157.91,158.01,158.99,156.5,158.4,0.6,"1,438,626"
Habib Metropolitan,89.22,87.11,91.95,87.11,88.0,-0.96,"20,264"
JS Bank Ltd,8.20,8.05,8.29,8.05,8.16,-0.04,"63,281"
MCB Bank LtdXD,285.08,285.0,287.0,282.01,283.0,-0.91,"256,616"
Meezan Bank Ltd,286.62,287.99,287.99,283.6,286.0,-0.61,"368,736"
National BankXD,87.98,88.05,88.55,87.15,87.65,-0.45,"2,039,874"
Samba Bank,8.59,8.99,8.99,8.99,8.99,,26
Soneri Bank Ltd,16.30,16.44,16.47,16.22,16.22,-0.05,"178,718"
St.Chart.Bank,60.12,62.0,62.0,59.51,60.5,0.38,"6,085"
United Bank,518.79,518.79,519.89,511.0,513.5,-3.22,"428,531"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agha Steel Ind.,8.08,8.24,9.08,8.11,8.65,0.61,"7,863,604"
Aisha Steel Mill,11.07,11.25,11.5,11.07,11.25,0.28,"5,854,154"
